crop,market,week_start,modal_price_weighted
tomato,Vadakkenchery Market,2024-08-19,5250.0
tomato,Khateema APMC,2024-08-19,1350.7692307692307
tomato,Taliparamba Market,2024-08-19,1920.0
tomato,Ranipettai(Uzhavar Sandhai ),2024-08-19,2768.96
tomato,Ranaghat APMC,2024-08-19,3744.444444444445
tomato,Aligarh APMC,2024-08-19,2711.929824561404
tomato,Pudukottai(Uzhavar Sandhai ),2024-08-19,3000.0
tomato,Khamano APMC,2024-08-19,3999.999999999999
tomato,Rampurmaniharan APMC,2024-08-19,2905.0
tomato,Khandhla APMC,2024-08-19,1661.764705882353
tomato,Chamkaur Sahib APMC,2024-08-19,2950.9433962264147
tomato,SMY Nadaun,2024-08-19,3977.7777777777774
tomato,Anna nagar(Uzhavar Sandhai ),2024-08-19,2642.5702811244983
tomato,Manglaur APMC,2024-08-19,3378.205128205128
tomato,Mangal Wedha APMC,2024-08-19,1325.870646766169
tomato,Nagina APMC,2024-08-19,4333.333333333334
tomato,Khandwa(F&V) APMC,2024-08-19,
tomato,Chattrapati Sambhajinagar APMC,2024-08-19,1845.4976303317533
tomato,Anoop Shahar APMC,2024-08-19,2455.0
tomato,Khanna APMC,2024-08-19,1722.314049586777
tomato,Awagarh APMC,2024-08-19,2494.444444444445
tomato,Ramtek APMC,2024-08-19,2388.4141331142155
tomato,Perambalur(Uzhavar Sandhai ),2024-08-19,3118.64406779661
tomato,Nagpur APMC,2024-08-19,1740.2173913043478
tomato,SMY Jassur,2024-08-19,4500.0
tomato,Khariar APMC,2024-08-19,4214.285714285714
tomato,Pennagaram(Uzhavar Sandhai ),2024-08-19,2000.0
tomato,Malout APMC,2024-08-19,2118.3238636363635
tomato,Chatta Krushak Bazar APMC,2024-08-19,6500.0
tomato,Bonai APMC,2024-08-19,4777.777777777777
tomato,Mamdot APMC,2024-08-19,5162.790697674418
tomato,Noida APMC,2024-08-19,2797.885462555066
tomato,Manachanallur(Uzhavar Sandhai ),2024-08-19,2585.454545454545
tomato,Tarantaran APMC,2024-08-19,4243.75
tomato,Pune(Khadiki) APMC,2024-08-19,1380.3030303030305
tomato,Manapparai(Uzhavar Sandhai ),2024-08-19,2642.5263157894738
tomato,Kharar APMC,2024-08-19,3758.9928057553952
tomato,Saharpada APMC,2024-08-19,4000.0
tomato,Dadri APMC,2024-08-19,2702.6315789473683
tomato,Ulundurpettai APMC,2024-08-19,2904.4444444444443
tomato,Papanasam(Uzhavar Sandhai ),2024-08-19,2770.2127659574467
tomato,Pattukottai(Uzhavar Sandhai ),2024-08-19,2757.432432432432
tomato,K.R. Pet APMC,2024-08-19,1136.3636363636365
tomato,Chitwadagaon APMC,2024-08-19,3034.0
tomato,Garjee APMC,2024-08-19,6300.0
tomato,Sankarapuram(Uzhavar Sandhai ),2024-08-19,2500.0
tomato,Dindigul(Uzhavar Sandhai ),2024-08-19,2749.0683229813662
tomato,Kadamtala,2024-08-19,5505.882352941177
tomato,Bassi Pathana APMC,2024-08-19,2785.714285714286
tomato,Tiruvallur(Uzhavar Sandhai ),2024-08-19,3300.0
tomato,Thuraiyur APMC,2024-08-19,2643.2637571157493
tomato,Jabalpur(F&V) APMC,2024-08-19,
tomato,Patran APMC,2024-08-19,2325.1515151515155
tomato,Gauribidanur APMC,2024-08-19,1250.0
tomato,Bargarh APMC,2024-08-19,3539.319470699433
tomato,Kahithapattarai(Uzhavar Sandhai ),2024-08-19,2281.342281879194
tomato,Dinanagar APMC,2024-08-19,3717.391304347826
tomato,Shahjahanpur APMC,2024-08-19,2924.0
tomato,Gharaunda APMC,2024-08-19,3314.814814814815
tomato,Islampur APMC,2024-08-19,1170.5882352941176
tomato,Chikkamagaluru APMC,2024-08-19,1643.1168831168832
tomato,Sirsaganj APMC,2024-08-19,1875.0
tomato,Samalkha APMC,2024-08-19,1922.6415094339625
tomato,Faridkot APMC,2024-08-19,3053.273809523809
tomato,Tiruvannamalai(Uzhavar Sandhai ),2024-08-19,2284.090909090909
tomato,Pattikonda APMC,2024-08-19,2200.0
tomato,Doddaballapur APMC,2024-08-19,1750.0
tomato,Garh Shankar(Mahalpur) APMC,2024-08-19,3007.692307692308
tomato,Periyakulam(Uzhavar Sandhai ),2024-08-19,1942.2535211267607
tomato,Dudhansadhan APMC,2024-08-19,2600.0
