state,series,year,month,index_value
Haryana,RL,2025,8,142.14
Himachal Pradesh,AL,2025,8,136.26
Himachal Pradesh,RL,2025,8,138.57
Jammu and Kashmir,AL,2025,8,146.62
Jammu and Kashmir,RL,2025,8,146.96
Jharkhand,AL,2025,8,133.15
Jharkhand,RL,2025,8,133.47
Karnataka,AL,2025,8,139.71
Karnataka,RL,2025,8,140.34
Kerala,AL,2025,8,138.04
Kerala,RL,2025,8,138.14
Lakshadweep,AL,2025,8,137.78
Lakshadweep,RL,2025,8,136.27
Madhya Pradesh,AL,2025,8,133.55
Madhya Pradesh,RL,2025,8,134.04
Maharashtra,AL,2025,8,132.3
Maharashtra,RL,2025,8,132.6
Manipur,AL,2025,8,144.23
Manipur,RL,2025,8,142.24
Meghalaya,AL,2025,8,136.8
Meghalaya,RL,2025,8,137.08
Mizoram,AL,2025,8,146.99
Mizoram,RL,2025,8,144.15
Nagaland,AL,2025,8,135.24
Nagaland,RL,2025,8,137.23
Odisha,AL,2025,8,132.12
Odisha,RL,2025,8,132.28
Puducherry,AL,2025,8,136.49
Puducherry,RL,2025,8,136.22
Punjab,AL,2025,8,138.12
Punjab,RL,2025,8,137.55
Rajasthan,AL,2025,8,138.16
Rajasthan,RL,2025,8,137.38
Sikkim,AL,2025,8,131.13
Sikkim,RL,2025,8,130.96
Tamil Nadu,AL,2025,8,133.33
Tamil Nadu,RL,2025,8,133.27
Telangana,AL,2025,8,139.05
Telangana,RL,2025,8,139.07
Tripura,AL,2025,8,124.83
Tripura,RL,2025,8,128.41
Uttar Pradesh,AL,2025,8,138.29
Uttar Pradesh,RL,2025,8,138.21
Uttarakhand,AL,2025,8,132.38
Uttarakhand,RL,2025,8,131.8
West Bengal,AL,2025,8,136.8
West Bengal,RL,2025,8,136.1
All India,AL,2025,9,136.23
All India,RL,2025,9,136.42
Andaman and Nicobar Islands,AL,2025,9,137.5
Andaman and Nicobar Islands,RL,2025,9,137.14
Andhra Pradesh,AL,2025,9,142.01
Andhra Pradesh,RL,2025,9,142.15
Arunachal Pradesh,AL,2025,9,134.21
Arunachal Pradesh,RL,2025,9,134.7
Assam,AL,2025,9,139.34
Assam,RL,2025,9,139.52
Bihar,AL,2025,9,133.19
Bihar,RL,2025,9,132.87
Chhattisgarh,AL,2025,9,133.05
Chhattisgarh,RL,2025,9,133.28
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,9,137.58
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,9,136.74
Delhi,AL,2025,9,0.0
Delhi,RL,2025,9,134.54
Goa,AL,2025,9,124.9
Goa,RL,2025,9,124.79
Gujarat,AL,2025,9,137.91
Gujarat,RL,2025,9,137.57
Haryana,AL,2025,9,142.83
Haryana,RL,2025,9,141.74
Himachal Pradesh,AL,2025,9,136.35
