market_id,market,crop,state,district,lat,lon,geocode_level,zone_id,zone_market,zone_state,dist_km
397.0,Sitamarhi APMC,tomato,Bihar,Sitamarhi,26.5942841,85.500428,district,T4_Solan,Solan APMC,Himachal Pradesh,947.0
398.0,Kishanganj APMC,tomato,Bihar,Kishanganj,26.2984144,87.9466715,district,T4_Solan,Solan APMC,Himachal Pradesh,1174.0
399.0,Munghair APMC,tomato,Bihar,Munghair,25.0961,85.3131,state,T4_Solan,Solan APMC,Himachal Pradesh,1031.2
400.0,Saharsa APMC,tomato,Bihar,Saharsa,25.8330757,86.6143751,district,T4_Solan,Solan APMC,Himachal Pradesh,1086.3
402.0,Motihari APMC,tomato,Bihar,East Champaran/ Motihari,26.6147108,84.9144431,district,T4_Solan,Solan APMC,Himachal Pradesh,897.0
403.0,Khagaria APMC,tomato,Bihar,Khagaria,25.4930513,86.6982264,district,T4_Solan,Solan APMC,Himachal Pradesh,1114.5
406.0,Durg APMC,tomato,Chattisgarh,Durg,21.1982964,81.4007922,district,T3_Nashik_Tomato,Nashik APMC,Maharashtra,803.3
410.0,Bilaspur APMC,tomato,Chattisgarh,Bilaspur,22.1638486,82.1365923,district,T3_Nashik_Tomato,Nashik APMC,Maharashtra,898.7
414.0,Raigarh APMC,tomato,Chattisgarh,Raigarh,22.2361795,83.3529534,district,T3_Nashik_Tomato,Nashik APMC,Maharashtra,1022.5
423.0,APMC Keshopur,tomato,NCT of Delhi,Delhi,28.6223066,77.2394313,district_only,T4_Solan,Solan APMC,Himachal Pradesh,254.0
424.0,APMC Shahdara,tomato,NCT of Delhi,Delhi,28.6223066,77.2394313,district_only,T4_Solan,Solan APMC,Himachal Pradesh,254.0
433.0,Bhavnagar APMC,tomato,Gujarat,Bhavnagar,21.7718836,72.1416449,district,T5_Navsari,Navsari APMC,Gujarat,120.9
434.0,Ankleshwar APMC,tomato,Gujarat,Bharuch,21.7080427,72.9956936,district,T5_Navsari,Navsari APMC,Gujarat,85.1
441.0,Bhuj APMC,tomato,Gujarat,Kachchh,23.583333,70.0,district,T5_Navsari,Navsari APMC,Gujarat,418.5
445.0,Godhra APMC,tomato,Gujarat,Panchmahals,22.2587,71.1924,state,T5_Navsari,Navsari APMC,Gujarat,229.2
448.0,S.Mandvi APMC,tomato,Gujarat,Surat,21.2094892,72.8317058,district,T5_Navsari,Navsari APMC,Gujarat,30.0
449.0,Vyra APMC,tomato,Gujarat,Surat,21.2094892,72.8317058,district,T5_Navsari,Navsari APMC,Gujarat,30.0
450.0,Vadhvan APMC,tomato,Gujarat,Surendranagar,22.8251395,71.6209736,district,T5_Navsari,Navsari APMC,Gujarat,247.2
451.0,Yamuna Nagar APMC,tomato,Haryana,Yamuna Nagar,30.1389108,77.301064,district,T4_Solan,Solan APMC,Himachal Pradesh,86.9
452.0,Panipat APMC,tomato,Haryana,Panipat,29.3912753,76.9771675,district,T4_Solan,Solan APMC,Himachal Pradesh,168.8
453.0,Bhiwani APMC,tomato,Haryana,Bhiwani,28.7931703,76.1391283,district,T4_Solan,Solan APMC,Himachal Pradesh,253.0
454.0,Sonepat APMC,tomato,Haryana,Sonipat,28.9953758,77.0233627,district,T4_Solan,Solan APMC,Himachal Pradesh,212.5
455.0,Rohtak APMC,tomato,Haryana,Rohtak,28.9010899,76.5801935,district,T4_Solan,Solan APMC,Himachal Pradesh,228.7
456.0,Jhajjar APMC,tomato,Haryana,Jhajar,29.0588,76.0856,state,T4_Solan,Solan APMC,Himachal Pradesh,228.0
457.0,Rewari APMC,tomato,Haryana,Rewari,28.1956468,76.6165179,district,T4_Solan,Solan APMC,Himachal Pradesh,305.1
458.0,Narnaul APMC,tomato,Haryana,Mahendragarh-Narnaul,28.0530574,76.1136303,district,T4_Solan,Solan APMC,Himachal Pradesh,331.6
459.0,Gurgaon APMC,tomato,Haryana,Gurgaon,28.4646148,77.0299194,district,T4_Solan,Solan APMC,Himachal Pradesh,271.4
460.0,Jind APMC,tomato,Haryana,Jind,29.3152073,76.314082,district,T4_Solan,Solan APMC,Himachal Pradesh,192.8
461.0,Palwal APMC,tomato,Haryana,Palwal,28.0599426,77.3223422,district,T4_Solan,Solan APMC,Himachal Pradesh,316.9
462.0,PMY Una,tomato,Himachal Pradesh,Una,31.5834642,76.2351452,district,T4_Solan,Solan APMC,Himachal Pradesh,112.8
463.0,PMY Chamba,tomato,Himachal Pradesh,Chamba,32.6923316,76.1631552,district,T4_Solan,Solan APMC,Himachal Pradesh,218.3
464.0,PMY Bilaspur,tomato,Himachal Pradesh,Bilaspur,31.3380959,76.7611631,district,T4_Solan,Solan APMC,Himachal Pradesh,58.9
465.0,SMY Dhanotu,tomato,Himachal Pradesh,Mandi,31.6516617,77.0092542,district,T4_Solan,Solan APMC,Himachal Pradesh,83.7
466.0,PMY Hamirpur,tomato,Himachal Pradesh,Hamirpur,31.6539866,76.5403633,district,T4_Solan,Solan APMC,Himachal Pradesh,99.7
467.0,PMY Dhalli Shimla,tomato,Himachal Pradesh,Shimla,31.1040393,77.1707923,district,T4_Solan,Solan APMC,Himachal Pradesh,22.8
468.0,SMY Palampur,tomato,Himachal Pradesh,Kangra,32.0768665,76.2985872,district,T4_Solan,Solan APMC,Himachal Pradesh,151.7
469.0,SMY Nahan,tomato,Himachal Pradesh,Sirmore,31.1048,77.1734,state,T4_Solan,Solan APMC,Himachal Pradesh,22.9
470.0,SMY Dharampur,tomato,Himachal Pradesh,Solan,30.9077569,77.1023645,district,T4_Solan,Solan APMC,Himachal Pradesh,1.4
471.0,SMY Bhuntar,tomato,Himachal Pradesh,Kullu,31.9578974,77.1089232,district,T4_Solan,Solan APMC,Himachal Pradesh,117.1
472.0,Narwal Jammu (F&V),tomato,Jammu and Kashmir,Jammu,32.7185614,74.8580917,district,T4_Solan,Solan APMC,Himachal Pradesh,293.6
474.0,Zaloosa-Chararishrief (F&V),tomato,Jammu and Kashmir,Budgam,33.9098746,74.6270357,district,T4_Solan,Solan APMC,Himachal Pradesh,407.8
475.0,Bumhama Kupwara (F&V),tomato,Jammu and Kashmir,Kupwara,34.5140696,74.191367,district,T4_Solan,Solan APMC,Himachal Pradesh,485.7
476.0,Prichoo Pulwama (F&V),tomato,Jammu and Kashmir,Pulwama,33.9490472,75.0418335,district,T4_Solan,Solan APMC,Himachal Pradesh,390.5
478.0,Rajouri (Phaliana) (F&V),tomato,Jammu and Kashmir,Rajouri,33.3772495,74.3132332,district,T4_Solan,Solan APMC,Himachal Pradesh,381.1
479.0,Giridih APMC,tomato,Jharkhand,Giridih,24.3314546,86.1548117,district,T4_Solan,Solan APMC,Himachal Pradesh,1151.2
480.0,Gadhwah APMC,tomato,Jharkhand,Garhwa,24.053577,83.6526818,district,T4_Solan,Solan APMC,Himachal Pradesh,997.5
482.0,Gumla APMC,tomato,Jharkhand,Gumla,23.1603759,84.4599565,district,T4_Solan,Solan APMC,Himachal Pradesh,1126.5
483.0,Koderma APMC,tomato,Jharkhand,Koderma,24.4931239,85.5560811,district,T4_Solan,Solan APMC,Himachal Pradesh,1094.1
485.0,Honnali APMC,tomato,Karnataka,Davangere,14.4661266,75.9206361,district,T1_Kolar,Kolar APMC,Karnataka,280.7
489.0,Doddaballapur APMC,tomato,Karnataka,Bengaluru Rural,13.1826245,77.3395681,district,T1_Kolar,Kolar APMC,Karnataka,85.9
490.0,Malur APMC,tomato,Karnataka,Kolar,13.1805066,78.2669329,district,T1_Kolar,Kolar APMC,Karnataka,15.3
491.0,Srinivasapur APMC,tomato,Karnataka,Kolar,13.1805066,78.2669329,district,T1_Kolar,Kolar APMC,Karnataka,15.3
492.0,Gauribidanur APMC,tomato,Karnataka,Chikkaballapur,13.0993764,77.388729,district,T1_Kolar,Kolar APMC,Karnataka,80.6
494.0,Hunsur APMC,tomato,Karnataka,Mysuru,12.3041464,76.6529521,district,T1_Kolar,Kolar APMC,Karnataka,185.3
496.0,T. Narasipura APMC,tomato,Karnataka,Mysuru,12.3041464,76.6529521,district,T1_Kolar,Kolar APMC,Karnataka,185.3
497.0,Gundlupet APMC,tomato,Karnataka,Chamarajanagar,11.9544201,77.1069086,district,T1_Kolar,Kolar APMC,Karnataka,172.4
498.0,Kollegal APMC,tomato,Karnataka,Chamarajanagar,11.9544201,77.1069086,district,T1_Kolar,Kolar APMC,Karnataka,172.4
499.0,K.R. Pet APMC,tomato,Karnataka,Mandya,12.6368939,76.7275477,district,T1_Kolar,Kolar APMC,Karnataka,162.1
500.0,Nagamangala APMC,tomato,Karnataka,Mandya,12.6368939,76.7275477,district,T1_Kolar,Kolar APMC,Karnataka,162.1
501.0,Channarayapatna APMC,tomato,Karnataka,Hassan,13.0301852,76.1744968,district,T1_Kolar,Kolar APMC,Karnataka,212.4
502.0,Sakaleshpura APMC,tomato,Karnataka,Hassan,13.0301852,76.1744968,district,T1_Kolar,Kolar APMC,Karnataka,212.4
503.0,Tarikere APMC,tomato,Karnataka,Chikkamagaluru,13.4058699,75.638758,district,T1_Kolar,Kolar APMC,Karnataka,271.5
515.0,Palayam Market,tomato,Keralam,Kozhikode(Calicut),11.2450558,75.7754716,district,T1_Kolar,Kolar APMC,Karnataka,331.6
518.0,Dhar APMC,tomato,Madhya Pradesh,Dhar,22.5786572,75.2258637,district,T5_Navsari,Navsari APMC,Gujarat,300.7
519.0,Itarsi APMC,tomato,Madhya Pradesh,Hoshangabad,22.7545538,77.7198249,district,T3_Nashik_Tomato,Nashik APMC,Maharashtra,509.4
521.0,Lashkar APMC,tomato,Madhya Pradesh,Gwalior,26.2037247,78.1573628,district,T4_Solan,Solan APMC,Himachal Pradesh,532.5
522.0,Mandsaur APMC,tomato,Madhya Pradesh,Mandsaur,24.2628148,75.385692,district,T5_Navsari,Navsari APMC,Gujarat,448.1
