state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Madhya Pradesh,Ratlam,23.50222,74.9551534,23.625,74.875,15.91
Madhya Pradesh,Shivpuri,25.3741215,77.8278866,25.375,77.875,4.73
Madhya Pradesh,Dhar,22.5786572,75.2258637,22.625,75.125,11.57
Madhya Pradesh,Satna,24.6954445,80.7770348,24.625,80.875,12.62
Madhya Pradesh,Jhabua,22.8869652,74.7243249,22.875,74.625,10.26
Madhya Pradesh,Sehore,23.1150041,77.0665356,23.125,77.125,6.08
Madhya Pradesh,Seoni,22.2748109,79.7202522,22.375,79.625,14.84
Uttarakhand,Chamoli (Gopeshwar),30.40878,79.31855,30.375,79.375,6.59
Telangana,Sangareddy,17.8684342,77.8227189,17.875,77.875,5.58
Assam,Kamrup,26.1468861,91.2227397,26.125,91.125,10.06
Karnataka,Bangalore,12.9767936,77.590082,12.875,77.625,11.93
Karnataka,Belgaum,15.8572666,74.5069343,15.875,74.625,12.78
Karnataka,Bijapur,16.8269911,75.7175387,16.875,75.625,11.2
Karnataka,Dharwad,15.3707296,75.1332867,15.375,75.125,1.01
Karnataka,Mysore,12.3051828,76.6553609,12.375,76.625,8.43
Karnataka,Raichur,16.0547194,76.9003647,16.125,76.875,8.27
Kerala,Ernakulam,9.9837257,76.2740001,10.125,76.375,19.21
Kerala,Kannur,11.8763836,75.3737973,12.125,75.375,27.65
Kerala,Kottayam,9.6287383,76.6455326,9.625,76.625,2.29
Kerala,Malappuram,11.1068448,76.1099551,11.125,76.125,2.6
Kerala,Palakad,10.7681928,76.6521319,10.875,76.625,12.24
Maharashtra,Dhule,21.1305215,74.4900614,21.125,74.375,11.95
Maharashtra,Palghar,19.757249,73.0931199,19.875,73.125,13.51
Manipur,Imphal East,24.8326698,94.0168859,24.875,94.125,11.88
Madhya Pradesh,Neemuch,24.6305517,75.1829,24.625,75.125,5.88
Madhya Pradesh,Ujjain,23.1885131,75.7716562,23.125,75.875,12.71
Rajasthan,Pratapgarh,24.0232221,74.6250275,24.125,74.625,11.32
West Bengal,Malda,25.0057449,88.1398483,25.125,88.125,13.34
West Bengal,Uttar Dinajpur,25.8721428,87.961986,25.875,87.875,8.71
Bihar,Khagaria,25.4930513,86.6982264,25.375,86.625,15.05
Gujarat,Kachchh,23.583333,70.0,23.625,69.875,13.55
Kerala,Kozhikode(Calicut),11.2450558,75.7754716,11.375,75.875,18.07
Madhya Pradesh,Mandsaur,24.2628148,75.385692,24.375,75.375,12.52
Maharashtra,Buldhana,20.562845,76.4086986,20.625,76.375,7.75
Punjab,Pathankot,32.3021899,75.6589406,32.375,75.625,8.7
Rajasthan,Jaisalmer,27.0264162,70.777512,27.125,70.875,14.61
Karnataka,Chikmagalur,13.318014,75.7738743,13.375,75.875,12.64
Karnataka,Kalburgi,17.3310003,76.8334228,17.375,76.875,6.59
Karnataka,Shimoga,14.0556503,75.2380553,14.125,75.125,14.43
Goa,North Goa,15.6038925,73.9967006,15.625,73.875,13.24
West Bengal,Murshidabad,24.1745993,88.2721335,24.125,88.375,11.8
Kerala,Idukki,9.8154785,76.9991599,9.875,76.875,15.13
Madhya Pradesh,Shajapur,23.4171002,76.6074794,23.375,76.625,5.01
Manipur,Thoubal,24.6386954,93.996871,24.625,93.875,12.41
Telangana,Medchal Malkajgiri,17.5349835,78.5246387,17.625,78.625,14.61
Maharashtra,Beed,18.9918442,75.909784,18.875,75.875,13.5
Bihar,Madhubani,26.3503076,86.2296424,26.375,86.125,10.78
Rajasthan,Bikaner,28.0159286,73.3171367,28.125,73.375,13.39
Kerala,Alappuzha,9.5003416,76.4123364,9.625,76.375,14.45
Kerala,Kasargod,12.4914722,74.9877613,12.375,75.125,19.74
Kerala,Thiruvananthapuram,8.4882267,76.947551,8.625,76.875,17.17
Kerala,Kollam,8.8870533,76.5906696,9.125,76.625,26.73
Madhya Pradesh,Rajgarh,23.8716707,76.7744703,23.875,76.875,10.23
