crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,266,Rajasthan,4,29.7,80,27.6,24.7,1974,24.5,20.9
onion,266,Rajasthan,13,90.3,71,75.7,57.3,1708,55.8,29.5
onion,266,Rajasthan,26,142.6,58,112.5,82.4,1357,79.0,33.1
onion,292,Tamil Nadu,1,11.9,83,11.4,10.6,13491,10.6,14.6
onion,292,Tamil Nadu,4,14.1,80,14.0,14.0,12977,14.0,20.9
onion,292,Tamil Nadu,13,14.4,71,15.7,17.3,11446,17.4,29.5
onion,292,Tamil Nadu,26,13.0,58,13.4,13.7,9236,13.9,33.1
onion,296,Tripura,1,9.7,83,10.2,10.7,1007,11.1,14.6
onion,296,Tripura,4,14.8,80,15.3,15.6,965,16.1,20.9
onion,296,Tripura,13,18.7,71,19.8,20.4,839,21.4,29.5
onion,296,Tripura,26,17.0,58,18.3,17.9,670,19.8,33.1
onion,297,Uttar Pradesh,1,16.6,83,15.8,14.5,9691,14.5,14.6
onion,297,Uttar Pradesh,4,26.1,80,24.3,21.5,9199,21.5,20.9
onion,297,Uttar Pradesh,13,35.6,71,33.8,31.4,7845,31.4,29.5
onion,297,Uttar Pradesh,26,59.8,58,55.5,51.0,6320,50.7,33.1
onion,298,Uttar Pradesh,1,14.8,83,14.7,14.5,9691,14.5,14.6
onion,298,Uttar Pradesh,4,22.2,80,21.9,21.5,9199,21.5,20.9
onion,298,Uttar Pradesh,13,30.4,71,30.8,31.4,7845,31.4,29.5
onion,298,Uttar Pradesh,26,59.3,58,55.3,51.0,6320,50.7,33.1
onion,299,Uttar Pradesh,1,14.7,83,14.6,14.5,9691,14.5,14.6
onion,299,Uttar Pradesh,4,20.9,80,21.1,21.5,9199,21.5,20.9
onion,299,Uttar Pradesh,13,33.4,71,32.5,31.4,7845,31.4,29.5
onion,299,Uttar Pradesh,26,62.7,58,57.1,51.0,6320,50.7,33.1
onion,301,Uttar Pradesh,1,13.5,68,14.0,14.5,9691,14.5,14.6
onion,301,Uttar Pradesh,4,20.8,62,21.1,21.5,9199,21.5,20.9
onion,301,Uttar Pradesh,13,26.9,45,29.3,31.4,7845,31.4,29.5
onion,301,Uttar Pradesh,26,55.1,34,52.4,51.0,6320,50.7,33.1
onion,302,Uttar Pradesh,1,19.5,70,17.4,14.5,9691,14.5,14.6
onion,302,Uttar Pradesh,4,25.3,64,23.6,21.5,9199,21.5,20.9
onion,302,Uttar Pradesh,13,34.6,51,32.9,31.4,7845,31.4,29.5
onion,302,Uttar Pradesh,26,60.7,41,55.1,51.0,6320,50.7,33.1
onion,303,Uttarakhand,1,13.7,82,13.4,12.8,1153,12.9,14.6
onion,303,Uttarakhand,4,16.8,79,17.9,19.5,1111,19.6,20.9
