crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,207,Odisha,13,28.8,135,28.7,28.5,4861,28.6,29.8
onion,207,Odisha,26,32.3,133,32.7,33.5,4535,33.6,35.4
onion,216,Punjab,1,12.5,85,13.6,15.4,4832,15.3,14.8
onion,216,Punjab,4,18.0,82,19.8,22.6,4631,22.6,21.3
onion,216,Punjab,13,26.3,73,26.9,27.7,4076,27.8,29.8
onion,216,Punjab,26,33.1,60,33.1,33.0,3323,33.1,35.4
onion,218,Punjab,1,17.4,85,16.6,15.4,4832,15.3,14.8
onion,218,Punjab,4,23.8,82,23.4,22.6,4631,22.6,21.3
onion,218,Punjab,13,28.3,73,28.1,27.7,4076,27.8,29.8
onion,218,Punjab,26,23.6,60,28.0,33.0,3323,33.1,35.4
onion,219,Punjab,1,12.4,85,13.5,15.4,4832,15.3,14.8
onion,219,Punjab,4,18.3,82,20.0,22.6,4631,22.6,21.3
onion,219,Punjab,13,19.1,73,22.7,27.7,4076,27.8,29.8
onion,219,Punjab,26,27.6,60,30.1,33.0,3323,33.1,35.4
onion,226,Punjab,1,15.2,85,15.2,15.4,4832,15.3,14.8
onion,226,Punjab,4,21.7,82,22.0,22.6,4631,22.6,21.3
onion,226,Punjab,13,27.1,73,27.4,27.7,4076,27.8,29.8
onion,226,Punjab,26,42.6,60,38.2,33.0,3323,33.1,35.4
onion,228,Punjab,1,11.2,80,12.9,15.4,4832,15.3,14.8
onion,228,Punjab,4,18.2,77,20.0,22.6,4631,22.6,21.3
onion,228,Punjab,13,21.7,68,24.3,27.7,4076,27.8,29.8
onion,228,Punjab,26,21.1,55,26.9,33.0,3323,33.1,35.4
onion,230,Punjab,1,14.9,85,15.1,15.4,4832,15.3,14.8
onion,230,Punjab,4,20.4,82,21.2,22.6,4631,22.6,21.3
onion,230,Punjab,13,25.9,73,26.7,27.7,4076,27.8,29.8
onion,230,Punjab,26,45.5,60,39.7,33.0,3323,33.1,35.4
onion,231,Punjab,1,20.9,85,18.8,15.4,4832,15.3,14.8
onion,231,Punjab,4,22.5,82,22.6,22.6,4631,22.6,21.3
onion,231,Punjab,13,28.9,73,28.4,27.7,4076,27.8,29.8
onion,231,Punjab,26,22.9,60,27.6,33.0,3323,33.1,35.4
onion,232,Punjab,1,22.4,85,19.7,15.4,4832,15.3,14.8
onion,232,Punjab,4,37.2,82,31.6,22.6,4631,22.6,21.3
onion,232,Punjab,13,46.3,73,38.6,27.7,4076,27.8,29.8
onion,232,Punjab,26,61.4,60,48.2,33.0,3323,33.1,35.4
onion,233,Punjab,1,16.4,85,16.0,15.4,4832,15.3,14.8
