crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,13,2012.0,Attingal Market,0.65,0.5163,122219.88364,230,M8,False
tomato,13,2013.0,Anchal Market,2.0157,0.045,1204198.699021,230,M8,True
tomato,13,2015.0,Chengannur Market,0.765,0.445,142035.168837,230,M8,False
tomato,13,2016.0,Kayamkulam Market,0.461,0.6452,90163.406999,230,M8,False
tomato,13,2019.0,Pampady Market,1.2252,0.2218,281961.580451,230,M8,False
tomato,13,2020.0,Ettumanoor Market,0.9739,0.3311,265676.882537,230,M8,False
tomato,13,2021.0,Kanjirappally Market,1.4433,0.1503,735356.727858,230,M8,False
tomato,13,2022.0,Pala Market,1.1972,0.2325,376639.9215,230,M8,False
tomato,13,2024.0,Chalakudy Market,1.1168,0.2652,289199.225391,230,M8,False
tomato,13,2026.0,Chavakkad Market,-0.3161,0.7522,-43672.011578,230,M6,False
tomato,13,2027.0,Wadakkanchery Market,-0.0851,0.9323,-11353.156224,230,M6,False
tomato,13,2032.0,Kuthuparambu Market,-1.8771,0.0629,-245866.341644,124,M6,False
tomato,13,2034.0,Manjeswaram Market,-0.6005,0.5488,-62788.490577,230,M6,False
tomato,13,2035.0,Kanjangadu Market,-0.4985,0.6186,-62543.167062,230,M6,False
tomato,13,2036.0,Vamanapuram Market,0.5906,0.5553,99370.953164,230,M8,False
tomato,13,2039.0,Rahata APMC,-0.996,0.3203,-64127.971805,230,M6,False
tomato,13,2147.0,Khed(Chakan) APMC,-1.5683,0.1182,-60821.948526,230,M6,False
tomato,13,2148.0,Pune(Pimpri) APMC,-1.349,0.1787,-89655.915794,230,M6,False
tomato,13,2149.0,Pune(Khadiki) APMC,0.2677,0.7892,10155.291922,230,M8,False
tomato,13,2163.0,Chandrapur(Ganjwad) APMC,-1.1205,0.2637,-121455.714359,230,M6,False
tomato,13,2173.0,Kathua (F&V),-0.1227,0.9025,-9130.64445,230,M6,False
tomato,13,2176.0,Thrippunithura Market,0.5714,0.5683,202612.051004,230,M8,False
tomato,13,2177.0,Pattambi Market,-1.163,0.246,-106657.677213,230,M6,False
tomato,13,2181.0,Khekda APMC,-1.3715,0.1716,-42160.306293,230,M6,False
tomato,13,2182.0,Jahangirabad APMC,-1.8354,0.0677,-57335.400577,230,M6,False
tomato,13,2183.0,Siyana APMC,0.6757,0.5,40974.492915,207,M8,False
tomato,13,2184.0,Sikanderabad APMC,0.6256,0.5323,19295.226154,197,M8,False
tomato,13,2185.0,Anoop Shahar APMC,-0.9986,0.3191,-37436.509395,220,M6,False
tomato,13,2186.0,Sikarpur APMC,-0.7529,0.4524,-28637.365196,204,M6,False
tomato,13,2188.0,Chutmalpur APMC,-0.5264,0.5992,-14044.48406,216,M6,False
tomato,13,2190.0,Kairana APMC,-1.0189,0.3094,-27722.607217,216,M6,False
tomato,13,2191.0,Thanabhavan APMC,-2.0671,0.0398,-54171.279718,230,M6,True
tomato,13,2193.0,Fatehabad APMC,0.2469,0.8053,13138.478357,214,M8,False
tomato,13,2194.0,Achnera APMC,-1.9025,0.0587,-58540.636404,186,M6,False
tomato,13,2195.0,Khairagarh APMC,-0.0423,0.9663,-4370.962634,166,M6,False
tomato,13,2196.0,Jagnair APMC,-1.2255,0.2217,-82051.3331,230,M6,False
tomato,13,2197.0,Fatehpur Sikri APMC,0.5469,0.5851,19286.323315,188,M8,False
tomato,13,2198.0,Samsabad APMC,0.6223,0.5344,14202.652599,230,M8,False
