crop,week_start,label,episode,score,score_type
tomato,2018-09-03,0,,,
tomato,2018-09-10,0,,,
tomato,2018-09-17,0,,,
tomato,2018-09-24,0,,,
tomato,2018-10-01,0,,,
tomato,2018-10-08,0,,,
tomato,2018-10-15,0,,,
tomato,2018-10-22,0,,,
tomato,2018-10-29,0,,,
tomato,2018-11-05,0,,,
tomato,2018-11-12,0,,,
tomato,2018-11-19,0,,,
tomato,2018-11-26,0,,,
tomato,2018-12-03,0,,,
tomato,2018-12-10,0,,,
tomato,2018-12-17,0,,,
tomato,2018-12-24,0,,,
tomato,2018-12-31,0,,,
tomato,2019-01-07,0,,,
tomato,2019-01-14,0,,,
tomato,2019-01-21,0,,,
tomato,2019-01-28,0,,,
tomato,2019-02-04,0,,,
tomato,2019-02-11,0,,,
tomato,2019-02-18,0,,,
tomato,2019-02-25,0,,,
tomato,2019-03-04,0,,,
tomato,2019-03-11,0,,,
tomato,2019-03-18,0,,,
tomato,2019-03-25,0,,,
tomato,2019-04-01,0,,,
tomato,2019-04-08,0,,,
tomato,2019-04-15,0,,,
tomato,2019-04-22,0,,,
tomato,2019-04-29,0,,,
tomato,2019-05-06,0,,,
tomato,2019-05-13,0,,,
tomato,2019-05-20,0,,,
tomato,2019-05-27,0,,,
tomato,2019-06-03,0,,,
tomato,2019-06-10,0,,,
tomato,2019-06-17,0,,,
tomato,2019-06-24,0,,,
tomato,2019-07-01,0,,,
tomato,2019-07-08,0,,,
tomato,2019-07-15,0,,,
tomato,2019-07-22,0,,,
tomato,2019-07-29,0,,,
tomato,2019-08-05,0,,,
tomato,2019-08-12,0,,,
tomato,2019-08-19,0,,,
tomato,2019-08-26,0,,,
tomato,2019-09-02,0,,,
tomato,2019-09-09,0,,,
tomato,2019-09-16,0,,,
tomato,2019-09-23,0,,,
tomato,2019-09-30,0,,,
tomato,2019-10-07,0,,,
tomato,2019-10-14,0,,,
tomato,2019-10-21,0,,,
tomato,2019-10-28,0,,,
tomato,2019-11-04,0,,,
tomato,2019-11-11,0,,,
tomato,2019-11-18,0,,,
tomato,2019-11-25,0,,,
tomato,2019-12-02,0,,,
tomato,2019-12-09,0,,,
tomato,2019-12-16,0,,,
tomato,2019-12-23,0,,,
tomato,2019-12-30,0,,,
tomato,2020-01-06,0,,,
tomato,2020-01-13,0,,,
tomato,2020-01-20,0,,,
tomato,2020-01-27,0,,,
tomato,2020-02-03,0,,,
tomato,2020-02-10,0,,,
tomato,2020-02-17,0,,,
tomato,2020-02-24,0,,,
tomato,2020-03-02,0,,,
tomato,2020-03-09,0,,,
tomato,2020-03-16,0,,,
tomato,2020-03-23,0,,,
tomato,2020-03-30,0,,,
tomato,2020-04-06,0,,,
tomato,2020-04-13,0,,,
tomato,2020-04-20,0,,,
tomato,2020-04-27,0,,,
tomato,2020-05-04,0,,,
tomato,2020-05-11,0,,,
tomato,2020-05-18,0,,,
tomato,2020-05-25,0,,,
tomato,2020-06-01,0,,,
tomato,2020-06-08,0,,,
tomato,2020-06-15,0,,,
tomato,2020-06-22,0,,,
tomato,2020-06-29,0,,,
tomato,2020-07-06,0,,,
tomato,2020-07-13,0,,,
tomato,2020-07-20,0,,,
tomato,2020-07-27,0,,,
tomato,2020-08-03,0,,,
tomato,2020-08-10,0,,,
tomato,2020-08-17,0,,,
